,aNWP,aNSW,rSL,avWLiC,avWpS,aSN,SC,avNSyl,WV2,FRE,aNShort,language,.,!,?,",",-,of,is,the,class
20,3205,0.3847113884555382,129.27464788732394,4.612480499219969,22.570422535211268,142,3.4479269986113867,1.4446177847113884,0.3622464898595944,61.76853963876867,0.02059282371294852,10,0.4109947643979058,0.005235602094240838,0.010471204188481676,0.47643979057591623,0.0968586387434555,0.029329173166926677,0.017784711388455537,0.04804992199687987,2
21,3070,0.3755700325732899,151.90243902439025,4.975895765472313,24.959349593495936,123,4.885914468900786,1.560586319218241,0.36807817589576547,49.5581778819417,0.014332247557003257,10,0.3394255874673629,0.0,0.005221932114882507,0.5039164490861618,0.1514360313315927,0.031921824104234525,0.015635179153094463,0.06254071661237785,1
22,3119,0.3818531580634819,138.58333333333334,4.734850913754409,23.62878787878788,132,2.71952479338843,1.4828470663674254,0.40429624879769155,57.54901697319462,0.023725553061878808,10,0.4415954415954416,0.011396011396011397,0.02849002849002849,0.38461538461538464,0.1339031339031339,0.015710163513946777,0.014748316768194934,0.04488618146841936,3
23,1227,0.37082314588427057,141.0,4.757131214343929,24.058823529411764,51,3.183391003460208,1.4841075794621026,0.44906275468622664,57.05881250299633,0.0032599837000814994,10,0.45652173913043476,0.0,0.007246376811594203,0.43478260869565216,0.10144927536231885,0.021189894050529748,0.010594947025264874,0.05704971475142624,3
24,2078,0.3811357074109721,138.58823529411765,4.547641963426371,24.44705882352941,85,2.6220069204152248,1.379692011549567,0.37728585178055823,65.33511464643607,0.006256015399422521,10,0.421875,0.0,0.0703125,0.2890625,0.21875,0.02021174205967276,0.005774783445620789,0.04234841193455245,1
25,2637,0.391353811149033,159.29591836734693,4.784224497535078,26.908163265306122,98,6.484798000832987,1.4948805460750854,0.41600303375047404,53.19096294490494,0.012514220705346985,10,0.315028901734104,0.0,0.028901734104046242,0.5202312138728323,0.13583815028901733,0.03261281759575275,0.016306408797876374,0.049677664012135005,1
26,2370,0.3957805907172996,125.70754716981132,4.5139240506329115,22.358490566037737,106,2.175507297970808,1.3924050632911393,0.3928270042194093,66.53517315500359,0.013924050632911392,10,0.5198412698412699,0.0,0.027777777777777776,0.38492063492063494,0.06746031746031746,0.024050632911392405,0.013924050632911392,0.049789029535864976,2
27,2476,0.3998384491114701,151.56382978723406,4.632471728594507,26.351063829787233,94,6.749660479855138,1.4353796445880453,0.40549273021001614,58.979488450830104,0.014135702746365105,10,0.3352112676056338,0.0,0.0647887323943662,0.4732394366197183,0.1267605633802817,0.035541195476575124,0.014539579967689823,0.07512116316639741,1
28,3254,0.4004302397049785,162.61061946902655,4.540565457897972,28.79646017699115,113,4.420079880961704,1.4197910264290103,0.31130915795943453,57.55514819065442,0.020590043023970498,10,0.3433734939759036,0.006024096385542169,0.024096385542168676,0.5120481927710844,0.1144578313253012,0.02427781192378611,0.013829133374308543,0.04240934234787953,1
29,1477,0.38727149627623564,113.86301369863014,4.479350033852404,20.232876712328768,73,4.397260273972603,1.3730534867975626,0.4204468517264726,70.31905857857006,0.021665538253215978,10,0.4292237442922374,0.0136986301369863,0.0228310502283105,0.4885844748858447,0.045662100456621,0.01828029790115098,0.012863913337846988,0.03994583615436696,1
30,1528,0.4181937172774869,242.4,4.402486910994765,43.65714285714286,35,17.95591836734694,1.37434554973822,0.3658376963350785,46.282366492146615,0.022905759162303665,10,0.16489361702127658,0.005319148936170213,0.047872340425531915,0.6223404255319149,0.1595744680851064,0.01767015706806283,0.01112565445026178,0.031413612565445025,1
31,1647,0.4286581663630844,134.7910447761194,4.38615664845173,24.582089552238806,67,2.4539986633994206,1.4098360655737705,0.38129933211900424,62.85443601663814,0.018822100789313904,10,0.4691358024691358,0.012345679012345678,0.05555555555555555,0.41975308641975306,0.043209876543209874,0.0273224043715847,0.015786278081360048,0.046751669702489375,2
32,2887,0.3934880498787669,118.0948905109489,4.500173190162799,21.072992700729927,137,3.3527625339655813,1.4038794596466921,0.3453411846207135,66.83329406425482,0.013508832698302737,10,0.4592391304347826,0.016304347826086956,0.016304347826086956,0.46467391304347827,0.043478260869565216,0.0228611014894354,0.01593349497748528,0.05957741600277104,3
33,1307,0.3817903596021423,154.7659574468085,4.491966335118592,27.80851063829787,47,2.567224988682662,1.4100994644223412,0.39173680183626625,59.46611722476357,0.019892884468247895,10,0.40186915887850466,0.0,0.102803738317757,0.4953271028037383,0.0,0.029074215761285386,0.013771996939556235,0.05202754399387911,2
34,2301,0.3880921338548457,133.9108910891089,4.757062146892656,22.782178217821784,101,3.404274090775414,1.516297262059974,0.3824424163407214,55.55293479804307,0.01477618426770969,10,0.42160278745644597,0.0,0.003484320557491289,0.42160278745644597,0.15331010452961671,0.025206431986093004,0.020425901781833986,0.05997392438070404,3
35,3236,0.40296662546353523,90.83084577114428,4.51885043263288,16.09950248756219,201,2.1106408257221356,1.4162546353522867,0.30315203955500614,70.72936033675876,0.012978986402966625,10,0.5021929824561403,0.010964912280701754,0.02850877192982456,0.4100877192982456,0.04824561403508772,0.022558714462299134,0.018541409147095178,0.052224969097651425,1
36,2068,0.41247582205029015,188.20967741935485,4.478239845261122,33.354838709677416,62,8.196149843912591,1.4032882011605416,0.36363636363636365,54.40899560117303,0.012088974854932301,10,0.3895131086142322,0.0299625468164794,0.011235955056179775,0.4419475655430712,0.12734082397003746,0.019825918762088973,0.014506769825918761,0.039651837524177946,2
37,3620,0.39337016574585637,161.18320610687022,4.74060773480663,27.633587786259543,131,2.4270147427306097,1.5088397790055248,0.3447513812154696,51.201047825903615,0.009392265193370166,10,0.46,0.008571428571428572,0.008571428571428572,0.34,0.18285714285714286,0.02430939226519337,0.014917127071823204,0.05911602209944752,1
38,3009,0.4061149883682286,128.02255639097746,4.507477567298106,22.62406015037594,133,4.155576912205325,1.4091060152874708,0.3476237952808242,64.81384163299577,0.03423064140910601,10,0.3734015345268542,0.03324808184143223,0.03580562659846547,0.48081841432225064,0.07672634271099744,0.0259222333000997,0.014290461947490861,0.05217680292455965,2
39,2926,0.39371155160628846,142.88235294117646,4.69958988380041,24.58823529411765,119,3.9111644657863147,1.498291182501709,0.3913192071086808,55.301624783884854,0.010252904989747095,10,0.430939226519337,0.0,0.03314917127071823,0.42265193370165743,0.1132596685082873,0.03212576896787423,0.012987012987012988,0.05331510594668489,2
40,2646,0.4013605442176871,105.6875,4.644368858654573,18.375,144,2.0131655092592595,1.4682539682539681,0.3416477702191988,64.03352678571432,0.01436130007558579,10,0.5420289855072464,0.0,0.005797101449275362,0.3507246376811594,0.10144927536231885,0.017762660619803475,0.017006802721088437,0.06386999244142101,3
41,2726,0.40939104915627295,150.06666666666666,4.661408657373441,25.961904761904762,105,3.9065759637188204,1.4860601614086573,0.338958180484226,54.79197701149428,0.0062362435803374906,10,0.3864406779661017,0.006779661016949152,0.020338983050847456,0.49491525423728816,0.09152542372881356,0.0326485693323551,0.02384446074834923,0.03888481291269259,1
42,2028,0.4171597633136095,111.1010101010101,4.333333333333333,20.484848484848484,99,2.8277726762575246,1.3486193293885602,0.3481262327416173,71.9906936226167,0.005917159763313609,10,0.46473029045643155,0.0,0.02074688796680498,0.47717842323651455,0.03734439834024896,0.03057199211045365,0.015285996055226824,0.04980276134122288,1
43,2560,0.377734375,100.73287671232876,4.637109375,17.534246575342465,146,2.2462000375304934,1.438671875,0.3890625,67.4234278681507,0.0140625,10,0.49707602339181284,0.0,0.043859649122807015,0.4093567251461988,0.049707602339181284,0.025,0.016015625,0.059375,1
